RR,water_feed(kmol/hr),methanol_feed(kmol/hr),glycerol_feed(kmol/hr),temperature(degC),pressure(Pa),utility_cost(USD/hr),total_purchase_cost(USD)
3.7,10,85,85,44,103325,141.90078184231277,185442.21726839742
5.3,12,105,105,82,143325,207.7794388932352,214300.75234935008
3.0,10,90,90,66,178325,150.97637777113158,180175.66744096062
5.3,6,50,50,40,139325,101.8895048308747,170320.04951716753
1.4,16,140,140,66,121325,184.17489601562195,196637.1854843294
5.2,16,140,140,58,116325,268.18348276967885,231969.01034394052
2.1,15,135,135,72,132325,193.87663697069277,192282.6214443809
6.4,7,60,60,46,164325,137.00079922805006,184167.92510282138
6.1,13,115,115,86,138325,240.22465885241198,224743.7315089597
1.5,3,30,30,54,109325,39.806030825077066,152468.1311357446
5.9,8,70,70,74,179325,153.3681031189372,190485.81394498612
3.2,5,40,40,64,186325,69.62992764402088,162403.08198462534
1.9,16,140,140,76,129325,195.0824494233816,195995.75818399995
6.1,9,80,80,64,199325,250.28189398802883,191907.93093184882
4.6,6,55,55,80,153325,103.40388202411353,167764.44072120122
4.1,10,85,85,86,110325,143.62971167388812,187951.95965731904
1.9,14,120,120,42,172325,181.28598674551031,184074.85277043356
1.1,11,95,95,48,198325,181.05031820712486,194044.44060945863
6.7,7,60,60,78,155325,135.89565325824515,183006.33056165697
3.8,7,65,65,40,133325,114.054198547871,169312.08051192528
1.7,14,120,120,54,152325,171.5962962530415,180888.4445670711
2.3,14,120,120,64,133325,178.25315957100483,188561.45846641646
5.0,12,105,105,68,139325,203.47922043586058,208023.27534246008
4.4,9,80,80,68,123325,143.41944403937933,185521.45092316545
3.0,5,45,45,72,149325,72.72708630259284,157711.57441730556
2.3,14,120,120,84,103325,167.463189781352,193316.41506995814
5.0,8,70,70,64,124325,133.03186711615214,184067.43738109677
5.8,7,65,65,54,162325,139.1380516108813,183491.98815446536
3.3,13,115,115,64,151325,193.72681709490053,192432.53299042914
2.6,9,80,80,42,190325,182.1630719218837,168536.57246325494
5.1,6,50,50,46,199325,107.03858244274461,169417.7288300701
4.2,4,35,35,70,106325,59.93515866603661,162610.4773796785
1.5,4,35,35,54,141325,48.30000593359911,167853.57981314874
3.1,9,75,75,64,143325,123.06987011914133,169407.03435310058
1.2,13,110,110,42,178325,153.2194917651081,190609.83099459583
3.6,6,55,55,80,181325,97.15441841264413,163601.20825850975
3.0,4,35,35,66,195325,81.9143468353862,160760.8633438108
5.8,14,125,125,66,138325,258.1605346638436,227800.77384162295
5.2,5,40,40,44,144325,81.53537266723318,163278.0367226195
5.9,5,45,45,44,195325,139.4284787845203,163658.90086338916
6.6,6,55,55,40,164325,126.78036977145287,180265.1124554237
4.1,16,140,140,54,113325,243.6598625263404,222410.6521829813
4.1,15,130,130,44,128325,233.5382491017405,214793.15317060542
4.9,10,85,85,74,125325,159.72532376039428,195646.18394663866
3.8,13,115,115,76,167325,205.30925433494335,199775.38215936674
1.4,15,130,130,76,171325,177.9539783255026,187016.55844796787
1.7,6,50,50,72,174325,71.64416972432196,168978.604174941
2.0,11,95,95,72,129325,134.56687631230068,177510.05371335085
4.4,14,120,120,66,136325,220.44979563892974,212716.59404667412
